-5.006695747375488,4.3077802658081055,-0.33625197410583496;  690.9698424339294,1013.665292263031
-4.99183464050293,4.310296058654785,-0.33717915415763855;  692.8042588233948,1013.5324448347092
-4.949317932128906,4.317486763000488,-0.3398281931877136;  698.043764591217,1013.1536096334457
-4.88226318359375,4.328802108764648,-0.34399545192718506;  706.2809572219849,1012.5593996047974
-4.7938032150268555,4.3436808586120605,-0.34947338700294495;  717.0986359119415,1011.781575679779
-4.687079429626465,4.361559867858887,-0.3560541272163391;  730.0768003463745,1010.8519625663757
-4.565228462219238,4.3818745613098145,-0.36353176832199097;  744.7979550361633,1009.8020023107529
-4.431378364562988,4.404068946838379,-0.37170445919036865;  760.8521189689636,1008.6619889736176
-4.288642883300781,4.427595615386963,-0.38037562370300293;  777.8399198055267,1007.4608135223389
-4.140115261077881,4.451921463012695,-0.38935452699661255;  795.3748776912689,1006.225900053978
-3.9888672828674316,4.476529121398926,-0.3984563648700714;  813.0849523544312,1004.9830782413483
-3.8379428386688232,4.500917434692383,-0.40750178694725037;  830.6130588054657,1003.7565833330154
-3.6903624534606934,4.52460241317749,-0.41631585359573364;  847.6164042949677,1002.569375038147
-3.5491199493408203,4.547119140625,-0.42472705245018005;  863.7657516002655,1001.4436477422714
-3.417185068130493,4.568017482757568,-0.43256616592407227;  878.7435035705566,1000.400447845459
-3.297508716583252,4.586860656738281,-0.4396650791168213;  892.24156665802,999.4606304168701
-3.193025588989258,4.603222846984863,-0.4458555281162262;  903.9585514068604,998.6446678638458
-3.1066603660583496,4.616684913635254,-0.45096883177757263;  913.5968992710114,997.9731601476669
-3.041334629058838,4.626829147338867,-0.4548346996307373;  920.8594200611115,997.4669623374939
-2.99997878074646,4.63323450088501,-0.45728176832199097;  925.4448716640472,997.1471208333969
-2.985534191131592,4.635468482971191,-0.4581363797187805;  927.0442028045654,997.035511136055
-2.985534191131592,4.635468482971191,-0.43601638078689575;  927.0442028045654,1000.5584233999252
-2.985534191131592,4.635468482971191,-0.3759763836860657;  927.0442028045654,1010.1206320524216
-2.985534191131592,4.635468482971191,-0.287496417760849;  927.0442028045654,1024.2122811079025
-2.985534191131592,4.635468482971191,-0.1800563931465149;  927.0442028045654,1041.3236421346664
-2.985534191131592,4.635468482971191,-0.06313640624284744;  927.0442028045654,1059.944731593132
-2.985534191131592,4.635468482971191,0.053783588111400604;  927.0442028045654,1078.5658848285675
-2.985534191131592,4.635468482971191,0.1612236201763153;  927.0442028045654,1095.6771183013916
-2.985534191131592,4.635468482971191,0.24970367550849915;  927.0442028045654,1109.7688949108124
-2.985534191131592,4.635468482971191,0.30974361300468445;  927.0442028045654,1119.330976009369
-2.985534191131592,4.635468482971191,0.3318636119365692;  927.0442028045654,1122.8538882732391
-2.985778331756592,4.635303497314453,0.29905760288238525;  927.0112717151642,1117.6302993297577
-2.9865164756774902,4.634803771972656,0.2067466676235199;  926.9115943908691,1102.930600643158
-2.987804889678955,4.633932113647461,0.06409603357315063;  926.7376563549042,1080.2106928825378
-2.9897301197052,4.63262939453125,-0.11972379684448242;  926.4775965213776,1050.9242445230484
-2.992371082305908,4.630842208862305,-0.335538387298584;  926.1206588745117,1016.5236485004425
-2.995769500732422,4.628542423248291,-0.5741720795631409;  925.6610970497131,978.4597033262253
-2.999907970428467,4.625741958618164,-0.8264511823654175;  925.1009738445282,938.183079957962
-3.004695415496826,4.622502326965332,-1.0832096338272095;  924.4525187015533,897.1462351083755
-3.009960412979126,4.6189398765563965,-1.3352925777435303;  923.7386434078217,856.8052607774734
-3.0154502391815186,4.615224838256836,-1.5735621452331543;  922.9934577941895,818.6216700077057
-3.020840644836426,4.61157751083374,-1.7888978719711304;  922.2609436511993,784.0638637542725
-3.0257492065429688,4.608255386352539,-1.972198247909546;  921.5931866168976,754.6068120002747
-3.029759407043457,4.605542182922363,-2.1143746376037598;  921.0471346378326,731.7310971021652
-3.0324480533599854,4.60372257232666,-2.206345796585083;  920.6807670593262,716.9197887182236
-3.033421039581299,4.60306453704834,-2.2390248775482178;  920.5481586456299,711.6544258594513
-3.036048173904419,4.595639705657959,-2.2273595333099365;  919.9195947647095,713.1201481819153
-3.043503761291504,4.574719429016113,-2.1937851905822754;  918.1351275444031,717.3811513185501
-3.055209159851074,4.542314529418945,-2.140430212020874;  915.3321540355682,724.2531198263168
-3.070624589920044,4.500420570373535,-2.0694196224212646;  911.637167930603,733.5692131519318
-3.0892019271850586,4.451047897338867,-1.9828802347183228;  907.1771786212921,745.1709455251694
-3.1103529930114746,4.3962273597717285,-1.8829410076141357;  902.0882570743561,758.8990020751953
-3.1334142684936523,4.33802604675293,-1.771732211112976;  896.5234923362732,774.5849478244781
-3.1576313972473145,4.27854585647583,-1.651391863822937;  890.6588852405548,792.0417249202728
-3.1821465492248535,4.219921112060547,-1.5240633487701416;  884.6975476741791,811.0554891824722
-3.2059972286224365,4.164315223693848,-1.391897439956665;  878.8717653751373,831.3777655363083
-3.228123426437378,4.113908767700195,-1.257051706314087;  873.4423348903656,852.7184963226318
-3.2473888397216797,4.070894241333008,-1.121687889099121;  868.6944379806519,874.7424697875977
-3.262605905532837,4.037466049194336,-0.9879747629165649;  864.9300534725189,897.0663225650787
-3.2725770473480225,4.01581335067749,-0.8580785393714905;  862.4562435150146,919.2625576257706
-3.2761447429656982,4.008114814758301,-0.7341668009757996;  861.5699036121368,940.8647102117538
-3.2729475498199463,4.009591102600098,-0.6097691059112549;  862.0271816253662,962.7718442678452
-3.2645108699798584,4.013486862182617,-0.47980761528015137;  863.2328867912292,985.6803405284882
-3.2527248859405518,4.0189290046691895,-0.348483145236969;  864.9145088195801,1008.8142246007919
-3.239455223083496,4.0250563621521,-0.22002731263637543;  866.8041787147522,1031.4074712991714
