-7.824220657348633,2.4752790927886963,0.1946364939212799;  35.48711657524109,1115.9615111351013
-7.809914588928223,2.477419853210449,0.19084639847278595;  38.25490050762892,1115.0450360774994
-7.7689690589904785,2.4835469722747803,0.17999884486198425;  46.16283059120178,1112.426608800888
-7.704344272613525,2.493217706680298,0.16287802159786224;  58.59973168373108,1108.3085298538208
-7.61899995803833,2.505988597869873,0.14026808738708496;  74.94229128956795,1102.897309064865
-7.515896797180176,2.5214173793792725,0.11295319348573685;  94.56253489851952,1096.4007318019867
-7.397993564605713,2.539060354232788,0.08171749860048294;  116.83568349480629,1089.0258181095123
-7.268250942230225,2.5584754943847656,0.04734516143798828;  141.14603805541992,1080.9762716293335
-7.1296281814575195,2.579219102859497,0.010620356537401676;  166.89249569177628,1072.4512040615082
-6.985085487365723,2.60084867477417,-0.02767278254032135;  193.49122023582458,1063.6439234018326
-6.837583541870117,2.6229212284088135,-0.06675005704164505;  220.37807339429855,1054.7412323951721
-6.6900811195373535,2.644993782043457,-0.10582735389471054;  247.00934225320816,1045.9232372045517
-6.545538902282715,2.66662335395813,-0.1441204696893692;  272.8618682026863,1037.363092303276
-6.406916618347168,2.6873669624328613,-0.1808452606201172;  297.43135249614716,1029.2277020215988
-6.2771735191345215,2.706782102584839,-0.21521762013435364;  320.2310485839844,1021.6784220933914
-6.159270286560059,2.7244253158569336,-0.24645337462425232;  340.78745234012604,1014.871888756752
-6.056166648864746,2.739853858947754,-0.27376821637153625;  358.63809192180634,1008.9612305164337
-5.970822334289551,2.752624988555908,-0.2963782250881195;  373.3264260292053,1004.0977263450623
-5.906197547912598,2.7622954845428467,-0.31349900364875793;  384.39628171920776,1000.4323363304138
-5.865252494812012,2.7684226036071777,-0.32434651255607605;  391.3867710828781,998.1176787614822
-5.850945949554443,2.7705633640289307,-0.328136682510376;  393.8251082897186,997.3103260993958
-5.850945949554443,2.7705633640289307,-0.3060166835784912;  393.8251082897186,1002.2103744745255
-5.850945949554443,2.7705633640289307,-0.24597668647766113;  393.8251082897186,1015.5106151103973
-5.850945949554443,2.7705633640289307,-0.15749672055244446;  393.8251082897186,1035.1109999418259
-5.850945949554443,2.7705633640289307,-0.050056710839271545;  393.8251082897186,1058.9114171266556
-5.850945949554443,2.7705633640289307,0.0668632909655571;  393.8251082897186,1084.8119461536407
-5.850945949554443,2.7705633640289307,0.18378329277038574;  393.8251082897186,1110.712411403656
-5.850945949554443,2.7705633640289307,0.29122331738471985;  393.8251082897186,1134.5128285884857
-5.850945949554443,2.7705633640289307,0.3797033727169037;  393.8251082897186,1154.1132771968842
-5.850945949554443,2.7705633640289307,0.439743310213089;  393.8251082897186,1167.4134540557861
-5.850945949554443,2.7705633640289307,0.46186330914497375;  393.8251082897186,1172.3135662078857
-5.850945949554443,2.7705633640289307,0.4342159032821655;  393.8251082897186,1166.1890637874603
-5.850945949554443,2.7705633640289307,0.35641738772392273;  393.8251082897186,1148.9548683166504
-5.850945949554443,2.7705633640289307,0.2361833155155182;  393.8251082897186,1122.320202589035
-5.850945949554443,2.7705633640289307,0.08122922480106354;  393.8251082897186,1087.9942893981934
-5.850945949554443,2.7705633640289307,-0.10072926431894302;  393.8251082897186,1047.6862877607346
-5.850945949554443,2.7705633640289307,-0.3019767105579376;  393.8251082897186,1003.1053566932678
-5.850945949554443,2.7705633640289307,-0.5147973895072937;  393.8251082897186,955.9606552124023
-5.850945949554443,2.7705633640289307,-0.7314760088920593;  393.8251082897186,907.9613423347473
-5.850945949554443,2.7705633640289307,-0.9442965984344482;  393.8251082897186,860.8166408538818
-5.850945949554443,2.7705633640289307,-1.145544171333313;  393.8251082897186,816.2356460094452
-5.850945949554443,2.7705633640289307,-1.3275026082992554;  393.8251082897186,775.9276443719864
-5.850945949554443,2.7705633640289307,-1.4824568033218384;  393.8251082897186,741.6017311811447
-5.850945949554443,2.7705633640289307,-1.602690577507019;  393.8251082897186,714.9671930074692
