-6.88023567199707,3.039984703063965,0.19463658332824707;  298.61064648628235,1110.8117759227753
-6.86592960357666,3.0421254634857178,0.1908464878797531;  300.9569681882858,1110.0001502037048
-6.824984073638916,3.048252582550049,0.17999893426895142;  307.6612259745598,1107.68070936203
-6.760359287261963,3.0579233169555664,0.1628781110048294;  318.2097280025482,1104.0315186977386
-6.675014972686768,3.0706942081451416,0.14026817679405212;  332.07850527763367,1099.2337048053741
-6.571911811828613,3.086122989654541,0.1129532903432846;  348.7402367591858,1093.4695422649384
-6.45400857925415,3.1037659645080566,0.0817175954580307;  367.67019832134247,1086.920667886734
-6.324265956878662,3.123181104660034,0.04734525829553604;  388.3505541086197,1079.7662949562073
-6.185643196105957,3.1439247131347656,0.010620452463626862;  410.27356123924255,1072.1820652484894
-6.04110050201416,3.1655542850494385,-0.02767268568277359;  432.9454743862152,1064.3387734889984
-5.893598556518555,3.187626838684082,-0.06674996018409729;  455.88658261299133,1056.4023035764694
-5.746096134185791,3.2096993923187256,-0.10582725703716278;  478.63345634937286,1048.5330545902252
-5.601553916931152,3.2313289642333984,-0.14412038028240204;  500.73751080036163,1040.8861321210861
-5.4629316329956055,3.25207257270813,-0.18084517121315002;  521.7653374671936,1033.6116033792496
-5.333188533782959,3.2714877128601074,-0.21521753072738647;  541.2963098287582,1026.8548798561096
-5.215285301208496,3.289130926132202,-0.24645328521728516;  558.9204468727112,1020.7577377557755
-5.112181663513184,3.3045594692230225,-0.2737681269645691;  574.2364239692688,1015.4592108726501
-5.026837348937988,3.3173305988311768,-0.29637813568115234;  586.8469315767288,1011.0966110229492
-4.962212562561035,3.3270010948181152,-0.31349891424179077;  596.3557652235031,1007.8070586919785
-4.921267509460449,3.3331282138824463,-0.3243464231491089;  602.3624843358994,1005.7290136814117
-4.906960964202881,3.335268974304199,-0.3281365931034088;  604.4581024646759,1005.0040608644485
-4.906960964202881,3.335268974304199,-0.30601659417152405;  604.4581024646759,1009.3855386972427
-4.906960964202881,3.335268974304199,-0.24597659707069397;  604.4581024646759,1021.2780302762985
-4.906960964202881,3.335268974304199,-0.1574966311454773;  604.4581024646759,1038.8038140535355
-4.906960964202881,3.335268974304199,-0.050056613981723785;  604.4581024646759,1060.0851047039032
-4.906960964202881,3.335268974304199,0.06686338782310486;  604.4581024646759,1083.2441806793213
-4.906960964202881,3.335268974304199,0.1837833821773529;  604.4581024646759,1106.4032566547394
-4.906960964202881,3.335268974304199,0.291223406791687;  604.4581024646759,1127.684611082077
-4.906960964202881,3.335268974304199,0.37970346212387085;  604.4581024646759,1145.210394859314
-4.906960964202881,3.335268974304199,0.43974339962005615;  604.4581024646759,1157.1028864383698
-4.906960964202881,3.335268974304199,0.4618633985519409;  604.4581024646759,1161.4842367172241
-4.906960964202881,3.335268974304199,0.4342159926891327;  604.4581024646759,1156.0079634189606
-4.906960964202881,3.335268974304199,0.3564174771308899;  604.4581024646759,1140.597916841507
-4.906960964202881,3.335268974304199,0.23618340492248535;  604.4581024646759,1116.7824482917786
-4.906960964202881,3.335268974304199,0.0812293216586113;  604.4581024646759,1086.0897815227509
-4.906960964202881,3.335268974304199,-0.10072916746139526;  604.4581024646759,1050.0480765104294
-4.906960964202881,3.335268974304199,-0.30197662115097046;  604.4581024646759,1010.1857483386993
-4.906960964202881,3.335268974304199,-0.5147972702980042;  604.4581024646759,968.0310207605362
-4.906960964202881,3.335268974304199,-0.7314758896827698;  604.4581024646759,925.1121175289154
-4.906960964202881,3.335268974304199,-0.9442964792251587;  604.4581024646759,882.9574537277222
-4.906960964202881,3.335268974304199,-1.1455440521240234;  604.4581024646759,843.0950617790222
-4.906960964202881,3.335268974304199,-1.3275024890899658;  604.4581024646759,807.0534205436707
-4.906960964202881,3.335268974304199,-1.4824566841125488;  604.4581024646759,776.360689997673
-4.906960964202881,3.335268974304199,-1.6026904582977295;  604.4581024646759,752.5452214479446
-4.906960964202881,3.335268974304199,-1.6804890632629395;  604.4581024646759,737.135174870491
-4.906960964202881,3.335268974304199,-1.7081364393234253;  604.4581024646759,731.6589015722275
-4.911715030670166,3.332051992416382,-1.6939562559127808;  603.4648286104202,734.265211224556
-4.925093650817871,3.3229990005493164,-1.653308629989624;  600.6632180213928,741.7641073465347
-4.9457688331604,3.3090083599090576,-1.589032530784607;  596.3147671222687,753.693653345108
-4.972415447235107,3.2909772396087646,-1.5039669275283813;  590.6766257286072,769.6062624454498
-5.00370454788208,3.269803762435913,-1.4009512662887573;  584.0067172050476,789.0577280521393
-5.03831148147583,3.2463860511779785,-1.2828245162963867;  576.5670168399811,811.5982311964035
-5.074908256530762,3.2216217517852783,-1.1524256467819214;  568.6269407272339,836.7637944221497
-5.112168312072754,3.196408271789551,-1.0125939846038818;  560.4650770425797,864.0695852041245
-5.1487650871276855,3.1716437339782715,-0.8661685585975647;  552.3711383342743,893.0044949054718
-5.183371543884277,3.148226022720337,-0.715988278388977;  544.6457773447037,923.0273121595383
-5.214661121368408,3.1270527839660645,-0.5648927092552185;  537.600071310997,953.5642355680466
-5.241307258605957,3.1090219020843506,-0.41572046279907227;  531.5539011955261,984.009256362915
-5.2619829177856445,3.0950310230255127,-0.27131104469299316;  526.8329679965973,1013.7259441614151
-5.275361061096191,3.0859782695770264,-0.13450324535369873;  523.7644461393356,1042.0523577928543
-5.280115604400635,3.08276104927063,-0.008136510848999023;  522.671347618103,1068.3084434270859
-5.280115604400635,3.08276104927063,0.10546555370092392;  522.671347618103,1091.9281804561615
-5.280115604400635,3.08276104927063,0.20603960752487183;  522.671347618103,1112.8392457962036
-5.280115604400635,3.08276104927063,0.29383760690689087;  522.671347618103,1131.0938727855682
-5.280115604400635,3.08276104927063,0.3691115975379944;  522.671347618103,1146.744613647461
-5.280115604400635,3.08276104927063,0.4321135878562927;  522.671347618103,1159.8437654972076
-5.280115604400635,3.08276104927063,0.48309561610221863;  522.671347618103,1170.443753004074
-5.280115604400635,3.08276104927063,0.5223095417022705;  522.671347618103,1178.5968732833862
-5.280115604400635,3.08276104927063,0.5500075221061707;  522.671347618103,1184.3558061122894
-5.280115604400635,3.08276104927063,0.5664414763450623;  522.671347618103,1187.7727210521698
-5.280115604400635,3.08276104927063,0.5718634724617004;  522.671347618103,1188.900042772293
-5.280115604400635,3.08276104927063,0.5499494075775146;  522.671347618103,1184.3436884880066
-5.280115604400635,3.08276104927063,0.4882842004299164;  522.671347618103,1171.5224766731262
-5.280115604400635,3.08276104927063,0.39298349618911743;  522.671347618103,1151.7078649997711
-5.280115604400635,3.08276104927063,0.2701627314090729;  522.671347618103,1126.1714386940002
-5.280115604400635,3.08276104927063,0.1259375512599945;  522.671347618103,1096.1846554279327
-5.280115604400635,3.08276104927063,-0.033576518297195435;  522.671347618103,1063.0190366506577
-5.280115604400635,3.08276104927063,-0.20226380228996277;  522.671347618103,1027.946167588234
-5.280115604400635,3.08276104927063,-0.3740091323852539;  522.671421289444,992.2374421358109
-5.280115604400635,3.08276104927063,-0.5426963567733765;  522.671421289444,957.1645730733871
-5.280115604400635,3.08276104927063,-0.7022106647491455;  522.671421289444,923.9989542961121
-5.280115604400635,3.08276104927063,-0.8464357852935791;  522.671421289444,894.0121710300446
-5.280115604400635,3.08276104927063,-0.9692566394805908;  522.671421289444,868.4756809473038
-5.280115604400635,3.08276104927063,-1.0645573139190674;  522.671421289444,848.6610692739487
-5.280115604400635,3.08276104927063,-1.1262221336364746;  522.671421289444,835.8399850130081
-5.280115604400635,3.08276104927063,-1.1481363773345947;  522.671421289444,831.2836307287216
-5.279013156890869,3.091883659362793,-1.1420607566833496;  524.0980668067932,832.9722535610199
-5.275910377502441,3.117889642715454,-1.124645709991455;  528.131830573082,837.7727460861206
-5.271116256713867,3.1587350368499756,-1.0971084833145142;  534.3746663331985,845.2525091171265
-5.264936923980713,3.212376594543457,-1.0606666803359985;  542.4092627763748,854.9538791179657
-5.257680892944336,3.2767701148986816,-1.0165375471115112;  551.8175350427628,866.416003704071
-5.249655723571777,3.3498728275299072,-0.9659388065338135;  562.196537733078,879.1928905248642
-5.241168975830078,3.4296412467956543,-0.9100876450538635;  573.1688157320023,892.8666090965271
-5.232527732849121,3.514030933380127,-0.8502016067504883;  584.3892188072205,907.0549440383911
-5.22404146194458,3.600999116897583,-0.7874981760978699;  595.5473327636719,921.4158594608307
-5.216015815734863,3.6885015964508057,-0.7231947183609009;  606.3678109645844,935.6475627422333
-5.2087602615356445,3.7744956016540527,-0.6585086584091187;  616.6070959568024,949.4865274429321
-5.202580451965332,3.8569374084472656,-0.5946575403213501;  626.0501410961151,962.7037304639816
-5.1977858543396,3.9337821006774902,-0.5328587293624878;  634.5040748119354,975.0994861125946
-5.19468355178833,4.002988338470459,-0.47432971000671387;  641.7934119701385,986.4972597360611
-5.1935811042785645,4.062510967254639,-0.4202878475189209;  647.7521710395813,996.7374175786972
-5.1935811042785645,4.112990856170654,-0.3716970980167389;  652.6099119186401,1005.7425981760025
-5.1935811042785645,4.156750679016113,-0.3285071849822998;  656.7563560009003,1013.6127400398254
-5.1935811042785645,4.194271087646484,-0.29041439294815063;  660.2649536132812,1020.4532027244568
-5.1935811042785645,4.2260308265686035,-0.25711479783058167;  663.2019352912903,1026.3581210374832
-5.1935811042785645,4.252511024475098,-0.2283046841621399;  665.6277852058411,1031.4123821258545
-5.1935811042785645,4.274190902709961,-0.20368021726608276;  667.5986409187317,1035.693347454071
-5.1935811042785645,4.291550636291504,-0.1829376071691513;  669.1670300960541,1039.2721283435822
-5.1935811042785645,4.305070877075195,-0.16577303409576416;  670.3824598789215,1042.214989066124
-5.1935811042785645,4.3152313232421875,-0.15188273787498474;  671.2924482822418,1044.5841121673584
-5.1935811042785645,4.322510719299316,-0.14096295833587646;  671.9426715373993,1046.4385551214218
-5.1935811042785645,4.327391147613525,-0.13270977139472961;  672.377774477005,1047.8351432085037
-5.1935811042785645,4.330350399017334,-0.12681949138641357;  672.641223192215,1048.8288521766663
-5.1935811042785645,4.331871032714844,-0.1229882463812828;  672.7764837741852,1049.4733822345734
-5.1935811042785645,4.332431316375732,-0.1209123432636261;  672.8262856006622,1049.8216044902802
-5.1935811042785645,4.332510948181152,-0.12028786540031433;  672.8333580493927,1049.9260711669922
-5.1935811042785645,4.332510948181152,-0.12028786540031433;  672.8333580493927,1049.9260711669922
-5.1935811042785645,4.332510948181152,-0.12028786540031433;  672.8333580493927,1049.9260711669922
-5.1935811042785645,4.332510948181152,-0.12028786540031433;  672.8333580493927,1049.9260711669922
-5.1935811042785645,4.332510948181152,-0.12028786540031433;  672.8333580493927,1049.9260711669922
-5.1935811042785645,4.332510948181152,-0.12028786540031433;  672.8333580493927,1049.9260711669922
-5.1935811042785645,4.332510948181152,-0.12028786540031433;  672.8333580493927,1049.9260711669922
-5.1935811042785645,4.332510948181152,-0.12028786540031433;  672.8333580493927,1049.9260711669922
-5.1935811042785645,4.332510948181152,-0.12028786540031433;  672.8333580493927,1049.9260711669922
-5.1935811042785645,4.332510948181152,-0.12028786540031433;  672.8333580493927,1049.9260711669922
-5.1935811042785645,4.332510948181152,-0.12028786540031433;  672.8333580493927,1049.9260711669922
-5.1935811042785645,4.332510948181152,-0.12028786540031433;  672.8333580493927,1049.9260711669922
-5.1935811042785645,4.332510948181152,-0.12028786540031433;  672.8333580493927,1049.9260711669922
-5.1935811042785645,4.332510948181152,-0.12028786540031433;  672.8333580493927,1049.9260711669922
-5.1935811042785645,4.332510948181152,-0.12028786540031433;  672.8333580493927,1049.9260711669922
-5.1935811042785645,4.332510948181152,-0.12028786540031433;  672.8333580493927,1049.9260711669922
